站點編號,站點名稱,城市,鄉鎮,經度,緯度,海拔高度,觀測時間,天氣現象,能見度描述,日照時數,風向,風速,氣溫,相對濕度,氣壓,紫外線指數,即時降水量,當日最高溫,當日最低溫
82H840,凍頂茶改,南投縣,鹿谷鄉,120.7405,23.762528,390.0,2026-02-24 15:50:00+08:00,陰,-99,,300.0,1.1,21.6,72.0,,,0.0,26.3,16.9
CAE110,西濱S129K,苗栗縣,苑裡鎮,120.6428,24.4472,42.0,2026-02-24 15:50:00+08:00,陰,21-30,,50.0,2.8,21.5,83.0,,,0.0,21.7,18.0
CAE070,國三N151K,苗栗縣,苑裡鎮,120.681656,24.440218,77.0,2026-02-24 15:50:00+08:00,陰,-99,,30.0,2.5,21.5,78.0,,,0.0,23.3,17.2
CAE060,國三N119K,苗栗縣,竹南鎮,120.847389,24.675432,28.0,2026-02-24 15:50:00+08:00,陰,11-15,,90.0,1.1,21.5,89.0,,,0.0,22.0,18.5
CAF090,國四E5K,臺中市,神岡區,120.643135,24.296465,130.0,2026-02-24 15:50:00+08:00,陰,-99,,320.0,1.2,21.5,88.0,,,0.0,24.7,17.1
C2A920,富貴角,新北市,石門區,121.565258,25.263783,196.0,2026-02-24 15:50:00+08:00,陰,-99,,260.0,0.8,21.5,80.0,,,0.0,23.1,17.2
CAC010,國一S072K,桃園市,楊梅區,121.1342,24.89583,214.0,2026-02-24 15:50:00+08:00,陰,7-10,,10.0,0.9,21.5,81.0,,,0.0,22.3,17.2
CAF100,西濱N151K,臺中市,清水區,120.547681,24.275964,14.0,2026-02-24 15:50:00+08:00,陰,21-30,,40.0,1.9,21.5,86.0,,,0.0,23.7,18.4
CAE040,國一S132K,苗栗縣,公館鄉,120.820831,24.524506,97.0,2026-02-24 15:50:00+08:00,陰,7-10,,30.0,1.8,21.5,82.0,,,0.0,23.0,17.5
42HA10,萬大發電廠,南投縣,仁愛鄉,121.139639,23.978875,1000.0,2026-02-24 15:50:00+08:00,陰,-99,,350.0,1.3,21.5,66.0,,,0.0,25.2,13.4
C2UC20,長嶺,宜蘭縣,員山鄉,121.61162,24.70894,465.0,2026-02-24 15:50:00+08:00,陰,-99,,290.0,0.3,21.5,82.0,,,0.0,23.4,16.3
CAF010,國一N174K,臺中市,西屯區,120.6552,24.2049,150.0,2026-02-24 15:50:00+08:00,陰,16-20,,350.0,3.0,21.5,85.0,,,0.0,25.2,17.2
CAC770,國三N072K,桃園市,龍潭區,121.199371,24.836391,313.0,2026-02-24 15:50:00+08:00,陰,7-10,,260.0,0.5,21.5,83.0,,,0.0,24.0,17.5
467280,後龍,苗栗縣,造橋鄉,120.831834,24.648563,30.0,2026-02-24 15:50:00+08:00,陰,11-15,0.3,70.0,1.4,21.4,91.0,1009.4,0.0,-990.0,22.8,18.3
C2H9T0,名間竹圍,南投縣,名間鄉,120.637572,23.859914,317.0,2026-02-24 15:50:00+08:00,陰,-99,,320.0,1.5,21.4,80.0,,,0.0,26.5,17.3
CAH030,茶改場竹圍站,南投縣,名間鄉,120.6375,23.86008,300.0,2026-02-24 15:50:00+08:00,陰,-99,,330.0,1.3,21.3,80.0,,,0.0,26.4,17.3
CAG080,西濱S189K,彰化縣,芳苑鄉,120.369607,23.987857,30.0,2026-02-24 15:50:00+08:00,陰,16-20,,10.0,3.4,21.3,87.0,,,0.0,22.9,19.0
C0FA30,梧棲,臺中市,梧棲區,120.523381,24.256003,31.7,2026-02-24 15:50:00+08:00,陰,-99,,360.0,2.4,21.3,93.0,,,0.0,22.4,18.4
CAG090,西濱N210K,彰化縣,大城鄉,120.293236,23.843536,48.0,2026-02-24 15:50:00+08:00,陰,21-30,,30.0,5.3,21.3,87.0,,,0.0,23.5,19.1
CAE080,國三S140K,苗栗縣,通霄鎮,120.725006,24.522345,64.0,2026-02-24 15:50:00+08:00,陰,7-10,,50.0,0.8,21.3,83.0,,,0.0,23.6,17.6
466900,淡水,新北市,淡水區,121.448906,25.164889,19.0,2026-02-24 15:50:00+08:00,陰,11-15,0.3,300.0,0.8,21.2,88.0,1011.8,1.0,-990.0,22.6,18.8
CAE100,西濱N107K,苗栗縣,後龍鎮,120.7394,24.5958,47.0,2026-02-24 15:50:00+08:00,陰,16-20,,170.0,0.7,21.2,89.0,,,0.0,21.4,17.7
CAF950,國一N158K,臺中市,后里區,120.717144,24.332372,183.0,2026-02-24 15:50:00+08:00,陰,7-10,,330.0,2.7,21.2,86.0,,,0.0,23.2,16.7
B2E890,新竹畜試,苗栗縣,西湖鄉,120.770972,24.527806,90.0,2026-02-24 15:50:00+08:00,陰,-99,,250.0,0.4,21.2,85.0,,,0.0,23.8,17.5
C2A560,福山,新北市,烏來區,121.502811,24.776203,405.0,2026-02-24 15:50:00+08:00,陰,-99,,320.0,0.4,21.2,79.0,,,0.0,24.4,15.2
CAG040,國三N191K,彰化縣,和美鎮,120.5215,24.139256,35.0,2026-02-24 15:50:00+08:00,陰,-99,,20.0,2.7,21.2,88.0,,,0.0,24.7,18.0
CAF020,國一S162K,臺中市,后里區,120.695976,24.295534,209.0,2026-02-24 15:50:00+08:00,陰,-99,,350.0,2.6,21.2,80.0,,,0.0,24.0,16.5
C2A540,四堵,新北市,坪林區,121.745736,24.8926,401.0,2026-02-24 15:50:00+08:00,陰,-99,,320.0,0.3,21.2,78.0,,,0.0,24.5,16.5
82A750,文山茶改,新北市,石碇區,121.631222,24.955778,401.0,2026-02-24 15:50:00+08:00,陰,-99,,0.0,0.0,21.2,78.0,,,0.0,23.8,17.5
CAE030,國一S123K,苗栗縣,頭屋鄉,120.86071,24.59594,76.0,2026-02-24 15:50:00+08:00,陰,-99,,50.0,0.6,21.2,85.0,,,0.0,23.2,17.2
466940,基隆,基隆市,仁愛區,121.740475,25.133314,26.7,2026-02-24 15:50:00+08:00,陰,7-10,0.7,20.0,1.8,21.1,86.0,1010.6,2.0,0.0,23.5,20.3
K2E710,大湖分場,苗栗縣,大湖鄉,120.871833,24.422861,286.0,2026-02-24 15:50:00+08:00,陰,-99,,340.0,1.6,21.1,77.0,,,0.0,24.9,16.0
C2H9Y0,松茗,南投縣,名間鄉,120.650765,23.8167,415.0,2026-02-24 15:50:00+08:00,陰,-99,,10.0,2.1,21.1,78.0,,,0.0,27.3,17.1
CAF030,國一S169K,臺中市,神岡區,120.688271,24.237116,195.0,2026-02-24 15:50:00+08:00,陰,-99,,350.0,2.7,21.1,87.0,,,0.0,24.6,16.8
C2H9J0,中台,南投縣,埔里鎮,120.938739,23.9996,545.0,2026-02-24 15:50:00+08:00,陰,-99,,290.0,1.3,21.0,76.0,,,0.0,28.4,15.8
CAF060,國三S168K,臺中市,清水區,120.614471,24.308519,117.0,2026-02-24 15:50:00+08:00,陰,11-15,,10.0,2.0,21.0,85.0,,,0.0,23.2,17.3
C2E520,大湖,苗栗縣,大湖鄉,120.870872,24.414939,320.0,2026-02-24 15:50:00+08:00,陰,-99,,320.0,0.6,21.0,82.0,,,0.0,25.6,16.0
A0A460,文化大學,臺北市,士林區,121.53987,25.13605,424.4,2026-02-24 15:50:00+08:00,陰,-99,,190.0,0.8,20.9,73.0,,,0.0,22.1,17.5
C2E540,龍溪,苗栗縣,後龍鎮,120.783933,24.606489,32.0,2026-02-24 15:50:00+08:00,陰,-99,,80.0,0.4,20.9,87.0,,,0.0,23.0,17.5
CAF980,國三N183K,臺中市,龍井區,120.570311,24.193628,131.0,2026-02-24 15:50:00+08:00,陰,7-10,,10.0,2.2,20.8,84.0,,,0.0,24.0,17.0
CAE050,國一S152K,苗栗縣,三義鄉,120.749184,24.375492,339.0,2026-02-24 15:50:00+08:00,陰,21-30,,30.0,3.1,20.8,80.0,,,0.0,24.3,17.0
C2UC10,出水溪,宜蘭縣,大同鄉,121.652253,24.615822,556.0,2026-02-24 15:50:00+08:00,陰,-99,,60.0,1.3,20.7,79.0,,,0.0,23.3,14.7
CAF960,國三S175K,臺中市,沙鹿區,120.589683,24.251494,154.0,2026-02-24 15:50:00+08:00,陰,7-10,,10.0,3.0,20.6,83.0,,,0.0,23.5,16.5
C2E970,八甲,苗栗縣,苗栗市,120.795983,24.535811,175.0,2026-02-24 15:50:00+08:00,陰,-99,,350.0,0.4,20.6,90.0,,,0.0,23.5,17.2
C2H9W0,大坪頂農水,南投縣,埔里鎮,120.932781,24.043122,724.0,2026-02-24 15:50:00+08:00,陰,-99,,280.0,2.6,20.6,76.0,,,0.0,26.8,15.2
CAE560,國一S144K,苗栗縣,銅鑼鄉,120.778219,24.437042,265.0,2026-02-24 15:50:00+08:00,陰,7-10,,10.0,1.7,20.6,82.0,,,0.0,23.3,16.2
C2F9A0,中竹林,臺中市,太平區,120.751061,24.103556,425.0,2026-02-24 15:50:00+08:00,陰,-99,,330.0,1.3,20.4,85.0,,,0.0,27.1,16.6
C2E430,南庄,苗栗縣,南庄鄉,121.000214,24.601775,258.0,2026-02-24 15:50:00+08:00,陰,-99,,130.0,0.4,20.4,91.0,,,0.0,23.4,17.6
K2F750,種苗繁殖,臺中市,新社區,120.800917,24.225972,470.0,2026-02-24 15:50:00+08:00,陰,-99,,350.0,1.7,20.4,80.0,,,0.0,25.7,15.9
C2H9D0,三隻寮,南投縣,國姓鄉,120.861578,24.093078,741.0,2026-02-24 15:50:00+08:00,陰,-99,,290.0,1.2,20.4,76.0,,,0.0,28.6,15.9
C2F000,大肚,臺中市,大肚區,120.572117,24.15295,273.0,2026-02-24 15:50:00+08:00,陰,-99,,30.0,2.2,20.3,85.0,,,0.0,24.1,16.7
C2TA60,六十石,花蓮縣,富里鄉,121.31861,23.22477,919.0,2026-02-24 15:50:00+08:00,多雲,-99,,240.0,1.1,20.2,80.0,,,0.0,22.5,14.5
C2TA70,赤科坪,花蓮縣,玉里鎮,121.39168,23.39885,872.0,2026-02-24 15:50:00+08:00,陰,-99,,210.0,1.7,20.0,80.0,,,0.0,21.0,15.0
C2H9M0,發祥,南投縣,仁愛鄉,121.164517,24.154094,1255.0,2026-02-24 15:50:00+08:00,陰,-99,,130.0,0.8,20.0,59.0,,,0.0,25.3,12.9
C2M9A0,大華,嘉義縣,竹崎鄉,120.67491,23.4824,987.0,2026-02-24 15:50:00+08:00,陰,-99,,100.0,0.8,19.9,81.0,,,0.0,26.8,14.9
82H320,魚池茶改,南投縣,魚池鄉,120.913583,23.875611,850.0,2026-02-24 15:50:00+08:00,陰,-99,,220.0,1.3,19.9,77.0,,,0.0,25.3,14.4
C2E990,新坪頂,苗栗縣,卓蘭鎮,120.8574,24.30201,549.0,2026-02-24 15:50:00+08:00,陰,-99,,350.0,1.6,19.8,83.0,,,0.0,25.0,16.2
C2M940,日野賀,嘉義縣,阿里山鄉,120.727169,23.434056,1112.0,2026-02-24 15:50:00+08:00,多雲,-99,,50.0,1.8,19.6,81.0,,,0.0,23.9,13.5
466950,彭佳嶼,基隆市,中正區,122.079744,25.627975,101.7,2026-02-24 15:50:00+08:00,陰有靄,7-10,0.2,310.0,3.5,19.6,94.0,1002.2,1.0,-990.0,22.2,18.9
467650,日月潭,南投縣,魚池鄉,120.90805,23.881325,1017.5,2026-02-24 15:50:00+08:00,陰有靄,7-10,3.3,260.0,1.0,19.3,84.0,,1.0,0.0,24.6,14.5
466930,陽明山,臺北市,北投區,121.544547,25.162078,607.1,2026-02-24 15:50:00+08:00,陰,-99,0.4,200.0,0.3,18.8,86.0,945.2,1.0,0.0,20.3,16.5
C2E880,三義,苗栗縣,三義鄉,120.749819,24.405478,507.0,2026-02-24 15:50:00+08:00,陰,-99,,40.0,1.8,18.6,90.0,,,0.0,22.4,15.4
C2M810,里佳,嘉義縣,阿里山鄉,120.716647,23.389125,1354.0,2026-02-24 15:50:00+08:00,多雲,-99,,290.0,1.1,18.6,85.0,,,0.0,21.7,13.0
C2M970,碧湖,嘉義縣,梅山鄉,120.624165,23.568632,1019.0,2026-02-24 15:50:00+08:00,陰,-99,,330.0,1.1,17.9,92.0,,,0.0,24.2,14.9
C2M990,大巃頂,嘉義縣,梅山鄉,120.61439,23.5547,1018.0,2026-02-24 15:50:00+08:00,陰,-99,,250.0,1.1,17.9,92.0,,,0.0,23.2,14.4
C2E980,和興,苗栗縣,獅潭鄉,120.923016,24.505319,640.0,2026-02-24 15:50:00+08:00,陰,-99,,20.0,1.9,17.9,95.0,,,0.0,23.4,15.4
C2I090,鳳凰,南投縣,鹿谷鄉,120.787347,23.728081,910.0,2026-02-24 15:50:00+08:00,陰,-99,,290.0,1.1,17.8,94.0,,,0.0,22.7,14.7
C2K610,草嶺石壁,雲林縣,古坑鄉,120.707731,23.602469,1143.0,2026-02-24 15:50:00+08:00,陰,-99,,310.0,1.0,17.7,90.0,,,0.0,23.8,14.2
C2M960,外寮,嘉義縣,梅山鄉,120.665688,23.562643,1126.0,2026-02-24 15:50:00+08:00,陰,-99,,280.0,1.2,17.7,92.0,,,0.0,24.0,14.3
C2M930,石卓,嘉義縣,竹崎鄉,120.702264,23.478744,1548.0,2026-02-24 15:50:00+08:00,陰,-99,,210.0,1.5,17.5,87.0,,,0.0,20.2,12.6
C2F990,摩天嶺,臺中市,和平區,120.936819,24.322458,1018.0,2026-02-24 15:50:00+08:00,陰,-99,,160.0,1.0,17.4,93.0,,,0.0,24.2,14.2
C2H9R0,卓社,南投縣,仁愛鄉,121.000086,23.887894,1301.0,2026-02-24 15:50:00+08:00,陰,-99,,320.0,1.0,17.4,84.0,,,0.0,21.7,13.3
C2FA00,烏石坑,臺中市,和平區,120.947617,24.273503,983.0,2026-02-24 15:50:00+08:00,陰,-99,,70.0,0.5,17.4,93.0,,,0.0,23.5,14.0
466910,鞍部,臺北市,北投區,121.529731,25.182586,837.6,2026-02-24 15:50:00+08:00,陰,>30,0.3,180.0,0.4,17.3,94.0,,1.0,-990.0,19.2,14.7
C2K240,草嶺,雲林縣,古坑鄉,120.693461,23.59555,1132.0,2026-02-24 15:50:00+08:00,陰,-99,,330.0,3.0,17.3,94.0,,,0.0,22.6,14.1
C2FB50,出雲,臺中市,和平區,120.902794,24.206469,1070.0,2026-02-24 15:50:00+08:00,陰,-99,,340.0,0.6,17.2,88.0,,,0.0,25.9,13.3
C2H9S0,龍南,南投縣,國姓鄉,120.833183,23.953536,1000.0,2026-02-24 15:50:00+08:00,陰,-99,,280.0,3.4,16.7,93.0,,,0.0,27.0,14.2
C2H9N0,仁愛東眼,南投縣,仁愛鄉,121.1205,24.026875,1439.0,2026-02-24 15:50:00+08:00,陰,-99,,240.0,3.6,16.7,83.0,,,0.0,21.9,13.1
467110,金門,金門縣,金城鎮,118.289281,24.407306,47.9,2026-02-24 15:50:00+08:00,陰有霧,<1,0.0,170.0,1.1,16.5,98.0,1010.8,1.0,12.0,17.2,15.4
C2M620,瑞里,嘉義縣,梅山鄉,120.675197,23.545133,1252.0,2026-02-24 15:50:00+08:00,陰,-99,,300.0,1.8,16.4,96.0,,,0.0,23.1,13.8
C2M530,奮起湖,嘉義縣,竹崎鄉,120.699253,23.493903,1385.0,2026-02-24 15:50:00+08:00,陰,-99,,230.0,0.7,16.4,96.0,,,0.0,22.2,12.6
U2H480,臺大溪頭,南投縣,鹿谷鄉,120.798194,23.670306,1150.0,2026-02-24 15:50:00+08:00,陰,-99,,330.0,0.6,16.3,95.0,,,0.0,21.0,12.8
A0F010,武陵,臺中市,和平區,121.308286,24.352825,1804.0,2026-02-24 15:50:00+08:00,陰,-99,,210.0,1.8,16.1,68.0,,,0.0,19.6,7.5
C2W030,金門(東),金門縣,金湖鎮,118.451786,24.448431,24.0,2026-02-24 15:50:00+08:00,陰,-99,,130.0,1.8,16.1,97.0,,,16.0,17.0,15.2
C2M950,太和,嘉義縣,梅山鄉,120.702961,23.538372,1367.0,2026-02-24 15:50:00+08:00,陰,-99,,340.0,1.8,16.1,95.0,,,0.0,20.9,13.4
72D080,五峰站,新竹縣,五峰鄉,121.157167,24.612194,1048.0,2026-02-24 15:50:00+08:00,陰,-99,,0.0,0.0,16.0,99.0,,,0.0,20.4,14.2
C2H9E0,國姓南港,南投縣,國姓鄉,120.846556,23.911108,1166.0,2026-02-24 15:50:00+08:00,陰,-99,,280.0,3.2,15.5,99.0,,,0.0,26.1,13.5
467990,馬祖,連江縣,南竿鄉,119.923158,26.169467,97.8,2026-02-24 15:50:00+08:00,陰有靄,3-6,0.1,210.0,2.2,15.4,98.0,1003.4,1.0,1.5,16.7,13.0
C2FB60,頭櫃山,臺中市,新社區,120.858925,24.129842,1117.0,2026-02-24 15:50:00+08:00,陰,-99,,300.0,5.2,15.3,99.0,,,0.0,24.8,13.5
CAW010,東引,連江縣,東引鄉,120.483631,26.358836,42.0,2026-02-24 15:50:00+08:00,陰有靄,3-6,,160.0,1.4,14.5,94.0,,,1.0,15.6,12.6
C2H9L0,馬烈霸,南投縣,仁愛鄉,121.201772,24.1512,1999.0,2026-02-24 15:50:00+08:00,陰,-99,,140.0,1.2,13.8,78.0,,,0.0,20.0,11.4
E2HA20,畢祿溪站,南投縣,仁愛鄉,121.308522,24.226944,2188.0,2026-02-24 15:50:00+08:00,陰,-99,,0.0,0.0,13.7,65.0,,,0.0,20.1,3.8
CAC040,拉拉山,桃園市,復興區,121.427133,24.699317,1684.0,2026-02-24 15:50:00+08:00,陰,-99,,200.0,0.6,13.4,91.0,,,0.0,18.4,11.0
C2H9Q0,北東眼山,南投縣,仁愛鄉,121.189303,24.120939,2032.0,2026-02-24 15:50:00+08:00,陰,-99,,90.0,0.4,13.2,81.0,,,0.0,19.0,10.9
C2H9K0,屯原,南投縣,仁愛鄉,121.209389,24.067969,2047.0,2026-02-24 15:50:00+08:00,陰,-99,,210.0,1.8,13.1,81.0,,,0.0,17.3,11.3
467530,阿里山,嘉義縣,阿里山鄉,120.813242,23.508208,2413.4,2026-02-24 15:50:00+08:00,多雲,>30,2.6,240.0,1.0,11.7,87.0,,3.0,0.0,13.6,7.6
C2F860,梨山,臺中市,和平區,121.243669,24.247522,2215.0,2026-02-24 15:50:00+08:00,陰,-99,,210.0,3.1,11.7,82.0,,,0.0,17.0,7.5
467550,玉山,南投縣,信義鄉,120.95943,23.48718,3844.8,2026-02-24 15:50:00+08:00,多雲,-99,1.6,240.0,2.0,7.4,58.0,,3.0,0.0,10.9,1.9
A0Z080,合歡山,花蓮縣,秀林鄉,121.284231,24.143186,3171.0,2026-02-24 15:50:00+08:00,陰,-99,,90.0,5.9,5.0,80.0,,,0.0,13.1,3.2
467480,嘉義,嘉義市,西區,120.432906,23.495925,26.9,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
468100,東沙島,高雄市,旗津區,116.73,20.700856,4.0,2026-02-24 15:50:00+08:00,-99,-99,,,,,,,,,,
A0W080,吉貝,澎湖縣,白沙鄉,119.604189,23.740011,3.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
U2HA50,臺大竹山,南投縣,竹山鎮,120.681556,23.756972,156.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
V2K620,麥寮合作社,雲林縣,麥寮鄉,120.294783,23.753836,9.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
E2P990,扇平林試,高雄市,茂林區,120.685703,22.9677,677.0,2026-02-24 15:50:00+08:00,多雲,-99,,,,,,,,,,
A2K360,臺西水試,雲林縣,臺西鄉,120.190522,23.717231,1.0,2026-02-24 15:50:00+08:00,陰,-99,,10.0,2.1,,,,,0.0,,
V2C250,八德合作社,桃園市,八德區,121.266389,24.93775,150.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
CAJ050,海口故事園區,雲林縣,口湖鄉,120.14121,23.57543,4.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
CAQ030,崎峰國小,屏東縣,林邊鄉,120.49521,22.42565,10.0,2026-02-24 15:50:00+08:00,陰,-99,,190.0,4.2,,,,,0.0,,
C2H9X0,福盛,南投縣,中寮鄉,120.84077,23.89353,706.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
CAG010,國一N198K,彰化縣,彰化市,120.523056,24.063889,28.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
CAP030,國一N351K,高雄市,橋頭區,120.328888,22.765833,37.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
CAJ040,西濱S241K,雲林縣,口湖鄉,120.172646,23.623426,14.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
CAC050,西濱S023K,桃園市,蘆竹區,121.27551,25.11649,23.0,2026-02-24 15:50:00+08:00,陰,21-30,,,,,,,,,,
CAC060,西濱S032K,桃園市,大園區,121.192505,25.091966,21.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
