測站名稱,城市,測站緯度,測站經度,台北車站緯度,台北車站經度,距離_公里,氣溫,觀測時間
玉井,臺南市,23.126042,120.46055,25.0478,121.517,239.09,30.2,2026-02-24 15:50:00+08:00
竹田國中,屏東縣,22.61532,120.52412,25.0478,121.517,288.71,29.2,2026-02-24 15:50:00+08:00
南沙島,高雄市,10.370203,114.364286,25.0478,121.517,1798.2,28.8,2026-02-24 15:50:00+08:00
鹿陶洋,臺南市,23.14325,120.48352,25.0478,121.517,236.33,28.6,2026-02-24 15:50:00+08:00
甲仙,高雄市,23.080106,120.591758,25.0478,121.517,238.11,28.6,2026-02-24 15:50:00+08:00
曾文,臺南市,23.219681,120.497328,25.0478,121.517,228.09,28.4,2026-02-24 15:50:00+08:00
高雄農改,屏東縣,22.709333,120.525889,25.0478,121.517,278.87,28.3,2026-02-24 15:50:00+08:00
屏科大,屏東縣,22.648275,120.619247,25.0478,121.517,282.0,28.2,2026-02-24 15:50:00+08:00
屏東,屏東縣,22.660269,120.494027,25.0478,121.517,285.13,28.2,2026-02-24 15:50:00+08:00
大新,屏東縣,22.67558,120.57788,25.0478,121.517,280.53,28.2,2026-02-24 15:50:00+08:00
月眉,高雄市,22.971003,120.539853,25.0478,121.517,251.35,28.1,2026-02-24 15:50:00+08:00
臺南農改,臺南市,23.0605,120.342194,25.0478,121.517,251.11,27.9,2026-02-24 15:50:00+08:00
國三N425K,屏東縣,22.480277,120.531666,25.0478,121.517,302.59,27.8,2026-02-24 15:50:00+08:00
國三S415K,屏東縣,22.568,120.528,25.0478,121.517,293.52,27.6,2026-02-24 15:50:00+08:00
西拉雅風管處,臺南市,23.189481,120.335297,25.0478,121.517,238.91,27.5,2026-02-24 15:50:00+08:00
鳳山農試,高雄市,22.646611,120.356083,25.0478,121.517,291.93,27.4,2026-02-24 15:50:00+08:00
太麻里(2),臺東縣,22.598,120.99775,25.0478,121.517,277.48,27.3,2026-02-24 15:50:00+08:00
匏子寮,高雄市,23.04905,120.55319,25.0478,121.517,242.84,27.3,2026-02-24 15:50:00+08:00
美濃,高雄市,22.898792,120.51907,25.0478,121.517,259.58,27.2,2026-02-24 15:50:00+08:00
高雄燈塔,高雄市,22.614594,120.26468,25.0478,121.517,299.04,27.1,2026-02-24 15:50:00+08:00
恆春工作站,屏東縣,22.079678,120.714425,25.0478,121.517,340.02,27.0,2026-02-24 15:50:00+08:00
東港工作站,屏東縣,22.479997,120.466058,25.0478,121.517,304.9,27.0,2026-02-24 15:50:00+08:00
高雄,高雄市,22.730432,120.312516,25.0478,121.517,285.29,27.0,2026-02-24 15:50:00+08:00
恆春畜試,屏東縣,21.945583,120.802167,25.0478,121.517,352.57,26.9,2026-02-24 15:50:00+08:00
畜試所,臺南市,23.058972,120.336406,25.0478,121.517,251.54,26.9,2026-02-24 15:50:00+08:00
六龜林試,高雄市,22.991703,120.645722,25.0478,121.517,245.15,26.9,2026-02-24 15:50:00+08:00
恆春,屏東縣,22.003897,120.746339,25.0478,121.517,347.46,26.9,2026-02-24 15:50:00+08:00
庄子底,花蓮縣,23.71794,121.49438,25.0478,121.517,147.89,26.8,2026-02-24 15:50:00+08:00
達谷寮,花蓮縣,23.38,121.35968,25.0478,121.517,186.14,26.6,2026-02-24 15:50:00+08:00
國三S385K,高雄市,22.767777,120.444444,25.0478,121.517,275.97,26.6,2026-02-24 15:50:00+08:00
西興,嘉義縣,23.2428,120.57617,25.0478,121.517,222.25,26.6,2026-02-24 15:50:00+08:00
二層坪,臺東縣,22.94105,121.16838,25.0478,121.517,236.92,26.6,2026-02-24 15:50:00+08:00
下營,臺南市,23.226806,120.256291,25.0478,121.517,239.51,26.4,2026-02-24 15:50:00+08:00
大武,臺東縣,22.35572,120.90374,25.0478,121.517,305.79,26.4,2026-02-24 15:50:00+08:00
瑞山,高雄市,22.90304,120.43424,25.0478,121.517,262.63,26.3,2026-02-24 15:50:00+08:00
蘭花園區,臺南市,23.340258,120.379661,25.0478,121.517,222.16,26.3,2026-02-24 15:50:00+08:00
國一S346K,高雄市,22.812222,120.314166,25.0478,121.517,277.01,26.3,2026-02-24 15:50:00+08:00
旗南農改,高雄市,22.857861,120.516667,25.0478,121.517,263.87,26.2,2026-02-24 15:50:00+08:00
臺東,臺東縣,22.752211,121.154586,25.0478,121.517,257.9,26.2,2026-02-24 15:50:00+08:00
國三N336K,臺南市,23.154722,120.345,25.0478,121.517,241.78,26.2,2026-02-24 15:50:00+08:00
國三S378K,高雄市,22.825958,120.415519,25.0478,121.517,271.23,26.2,2026-02-24 15:50:00+08:00
國一S336K,高雄市,22.894167,120.271178,25.0478,121.517,270.86,26.1,2026-02-24 15:50:00+08:00
永康,臺南市,23.038386,120.2367,25.0478,121.517,258.5,26.1,2026-02-24 15:50:00+08:00
臺南,臺南市,22.99328,120.20492,25.0478,121.517,264.47,26.0,2026-02-24 15:50:00+08:00
國三S342K,臺南市,23.106694,120.327528,25.0478,121.517,247.32,26.0,2026-02-24 15:50:00+08:00
加納納,花蓮縣,23.466421,121.359867,25.0478,121.517,176.56,25.9,2026-02-24 15:50:00+08:00
六官養殖協會,臺南市,23.22881,120.29962,25.0478,121.517,237.0,25.9,2026-02-24 15:50:00+08:00
義竹分場,嘉義縣,23.360694,120.279361,25.0478,121.517,225.71,25.9,2026-02-24 15:50:00+08:00
南安,花蓮縣,23.29818,121.26157,25.0478,121.517,196.27,25.8,2026-02-24 15:50:00+08:00
茅港尾,臺南市,23.2061,120.2624,25.0478,121.517,241.13,25.8,2026-02-24 15:50:00+08:00
馬頭山,嘉義縣,23.324361,120.582017,25.0478,121.517,213.82,25.8,2026-02-24 15:50:00+08:00
國一S342K,高雄市,22.845555,120.295,25.0478,121.517,274.56,25.8,2026-02-24 15:50:00+08:00
國三S366K,臺南市,22.9077,120.3513,25.0478,121.517,265.81,25.8,2026-02-24 15:50:00+08:00
太麻里(1),臺東縣,22.598922,120.980044,25.0478,121.517,277.73,25.7,2026-02-24 15:50:00+08:00
順那,臺東縣,23.04166,121.29332,25.0478,121.517,224.23,25.7,2026-02-24 15:50:00+08:00
北份子寮,臺東縣,22.78561,121.07813,25.0478,121.517,255.47,25.7,2026-02-24 15:50:00+08:00
國一N361K,高雄市,22.680555,120.328611,25.0478,121.517,289.63,25.7,2026-02-24 15:50:00+08:00
國一N323K,臺南市,23.011789,120.249453,25.0478,121.517,260.43,25.7,2026-02-24 15:50:00+08:00
烏樹,臺南市,23.32393,120.36989,25.0478,121.517,224.23,25.6,2026-02-24 15:50:00+08:00
國三S329K,臺南市,23.212777,120.355833,25.0478,121.517,235.62,25.5,2026-02-24 15:50:00+08:00
宜蘭畜試,宜蘭縣,24.669039,121.832561,25.0478,121.517,52.8,25.5,2026-02-24 15:50:00+08:00
麻汝,花蓮縣,23.42554,121.39358,25.0478,121.517,180.82,25.4,2026-02-24 15:50:00+08:00
安南,臺南市,23.076694,120.144861,25.0478,121.517,259.7,25.4,2026-02-24 15:50:00+08:00
國一N315K,臺南市,23.0835,120.251897,25.0478,121.517,253.38,25.3,2026-02-24 15:50:00+08:00
花蓮,花蓮縣,23.975128,121.613275,25.0478,121.517,119.67,25.3,2026-02-24 15:50:00+08:00
成功,臺東縣,23.097486,121.373428,25.0478,121.517,217.35,25.3,2026-02-24 15:50:00+08:00
國一N288K,臺南市,23.30609,120.290033,25.0478,121.517,230.21,25.2,2026-02-24 15:50:00+08:00
長橋,花蓮縣,23.6874,121.46186,25.0478,121.517,151.37,25.2,2026-02-24 15:50:00+08:00
國五S047K,宜蘭縣,24.675456,121.794583,25.0478,121.517,49.98,25.1,2026-02-24 15:50:00+08:00
紫雲,嘉義縣,23.494914,120.540253,25.0478,121.517,199.04,25.1,2026-02-24 15:50:00+08:00
高士國小,屏東縣,22.12553,120.84653,25.0478,121.517,332.04,25.1,2026-02-24 15:50:00+08:00
臺東茶改,臺東縣,22.907694,121.130139,25.0478,121.517,241.19,25.0,2026-02-24 15:50:00+08:00
國三S311K,臺南市,23.346388,120.438888,25.0478,121.517,218.51,25.0,2026-02-24 15:50:00+08:00
吉安,花蓮縣,23.94538,121.54803,25.0478,121.517,122.62,24.9,2026-02-24 15:50:00+08:00
蘭陽分場,宜蘭縣,24.686306,121.716583,25.0478,121.517,44.96,24.9,2026-02-24 15:50:00+08:00
國一S306K,臺南市,23.152831,120.230558,25.0478,121.517,247.88,24.8,2026-02-24 15:50:00+08:00
國一N013K,新北市,25.066739,121.628153,25.0478,121.517,11.39,24.8,2026-02-24 15:50:00+08:00
臺北,臺北市,25.037658,121.514853,25.0478,121.517,1.15,24.8,2026-02-24 15:50:00+08:00
嘉義分場,嘉義縣,23.416869,120.283061,25.0478,121.517,220.32,24.8,2026-02-24 15:50:00+08:00
國一N273K,嘉義縣,23.416666,120.355,25.0478,121.517,216.28,24.8,2026-02-24 15:50:00+08:00
朴子農改,嘉義縣,23.469889,120.259383,25.0478,121.517,216.88,24.8,2026-02-24 15:50:00+08:00
花蓮農改,花蓮縣,23.975222,121.563889,25.0478,121.517,119.36,24.7,2026-02-24 15:50:00+08:00
雲林分場,雲林縣,23.634556,120.477333,25.0478,121.517,189.18,24.7,2026-02-24 15:50:00+08:00
國三S010K,新北市,25.08,121.6475,25.0478,121.517,13.62,24.6,2026-02-24 15:50:00+08:00
嘉義大學,嘉義市,23.471325,120.485903,25.0478,121.517,204.09,24.6,2026-02-24 15:50:00+08:00
宜蘭,宜蘭縣,24.763975,121.756528,25.0478,121.517,39.74,24.6,2026-02-24 15:50:00+08:00
臺灣大學,臺北市,25.014278,121.539416,25.0478,121.517,4.36,24.6,2026-02-24 15:50:00+08:00
國一N268K,嘉義縣,23.460833,120.375833,25.0478,121.517,211.0,24.5,2026-02-24 15:50:00+08:00
班鳩分場,臺東縣,22.829528,121.077694,25.0478,121.517,250.67,24.5,2026-02-24 15:50:00+08:00
七股研究中心,臺南市,23.081672,120.062894,25.0478,121.517,263.8,24.4,2026-02-24 15:50:00+08:00
利吉,臺東縣,22.86246,121.15486,25.0478,121.517,245.77,24.4,2026-02-24 15:50:00+08:00
賓朗果園,臺東縣,22.813889,121.071278,25.0478,121.517,252.5,24.3,2026-02-24 15:50:00+08:00
新北,新北市,24.959207,121.525196,25.0478,121.517,9.89,24.3,2026-02-24 15:50:00+08:00
國三S290K,嘉義縣,23.504106,120.490742,25.0478,121.517,200.71,24.3,2026-02-24 15:50:00+08:00
安和,嘉義縣,23.51377,120.31593,25.0478,121.517,209.56,24.3,2026-02-24 15:50:00+08:00
國三N303K,嘉義縣,23.411969,120.452447,25.0478,121.517,211.51,24.2,2026-02-24 15:50:00+08:00
國三N046K,新北市,24.95083,121.3958,25.0478,121.517,16.29,24.2,2026-02-24 15:50:00+08:00
溪口農場,嘉義縣,23.58565,120.408111,25.0478,121.517,197.63,24.2,2026-02-24 15:50:00+08:00
大安森林,臺北市,25.02955,121.53628,25.0478,121.517,2.81,24.1,2026-02-24 15:50:00+08:00
國三甲005K,臺北市,25.00194,121.5975,25.0478,121.517,9.58,24.1,2026-02-24 15:50:00+08:00
國五S041K,宜蘭縣,24.734764,121.781922,25.0478,121.517,43.88,24.1,2026-02-24 15:50:00+08:00
國一S026K,新北市,25.07639,121.4964,25.0478,121.517,3.8,24.0,2026-02-24 15:50:00+08:00
嘉義農試,嘉義市,23.485028,120.473806,25.0478,121.517,203.42,24.0,2026-02-24 15:50:00+08:00
國三S037K,新北市,24.982361,121.471042,25.0478,121.517,8.63,24.0,2026-02-24 15:50:00+08:00
國五S031K,宜蘭縣,24.819144,121.782378,25.0478,121.517,36.91,24.0,2026-02-24 15:50:00+08:00
古坑(花卉中心),雲林縣,23.63353,120.55239,25.0478,121.517,185.15,24.0,2026-02-24 15:50:00+08:00
國三S016K,臺北市,25.03306,121.6158,25.0478,121.517,10.09,24.0,2026-02-24 15:50:00+08:00
蘭嶼,臺東縣,22.0369,121.55843,25.0478,121.517,334.82,24.0,2026-02-24 15:50:00+08:00
四湖,雲林縣,23.6304,120.22717,25.0478,121.517,204.73,24.0,2026-02-24 15:50:00+08:00
何竹子腳,嘉義縣,23.53641,120.38203,25.0478,121.517,203.65,24.0,2026-02-24 15:50:00+08:00
桃改臺北,新北市,24.944503,121.386972,25.0478,121.517,17.43,24.0,2026-02-24 15:50:00+08:00
國三S042K,新北市,24.96,121.4306,25.0478,121.517,13.08,24.0,2026-02-24 15:50:00+08:00
國三S007K,基隆市,25.09694,121.6678,25.0478,121.517,16.14,24.0,2026-02-24 15:50:00+08:00
明峰,臺東縣,22.8671,121.11825,25.0478,121.517,245.84,23.9,2026-02-24 15:50:00+08:00
古坑,雲林縣,23.633639,120.551889,25.0478,121.517,185.17,23.9,2026-02-24 15:50:00+08:00
國三N295K,嘉義市,23.468598,120.499369,25.0478,121.517,203.66,23.8,2026-02-24 15:50:00+08:00
國一S006K,基隆市,25.08694,121.6869,25.0478,121.517,17.66,23.8,2026-02-24 15:50:00+08:00
水試所海水繁養殖中心,臺南市,23.120802,120.079676,25.0478,121.517,259.23,23.8,2026-02-24 15:50:00+08:00
旺來山,嘉義縣,23.555153,120.486463,25.0478,121.517,196.1,23.8,2026-02-24 15:50:00+08:00
西濱N304K,臺南市,23.103439,120.086694,25.0478,121.517,260.43,23.7,2026-02-24 15:50:00+08:00
臺大和社,南投縣,23.590856,120.888864,25.0478,121.517,174.06,23.7,2026-02-24 15:50:00+08:00
東吉島,澎湖縣,23.25727,119.66762,25.0478,121.517,273.58,23.7,2026-02-24 15:50:00+08:00
台農院關渡站,臺北市,25.11575,121.492,25.0478,121.517,7.96,23.6,2026-02-24 15:50:00+08:00
國三S054K,新北市,24.93917,121.3239,25.0478,121.517,22.9,23.6,2026-02-24 15:50:00+08:00
鹿南,雲林縣,23.63855,120.3636,25.0478,121.517,195.47,23.6,2026-02-24 15:50:00+08:00
農業試驗所,臺中市,24.031261,120.688133,25.0478,121.517,140.73,23.6,2026-02-24 15:50:00+08:00
雲林臺大,雲林縣,23.730628,120.423903,25.0478,121.517,183.59,23.6,2026-02-24 15:50:00+08:00
再來山,臺東縣,23.34371,121.44122,25.0478,121.517,189.64,23.5,2026-02-24 15:50:00+08:00
國五S006K,新北市,24.989964,121.656972,25.0478,121.517,15.5,23.5,2026-02-24 15:50:00+08:00
荷苞,雲林縣,23.657717,120.595144,25.0478,121.517,180.59,23.5,2026-02-24 15:50:00+08:00
國三N279K,嘉義縣,23.596111,120.523333,25.0478,121.517,190.24,23.5,2026-02-24 15:50:00+08:00
國五S005K,新北市,24.996414,121.651931,25.0478,121.517,14.75,23.5,2026-02-24 15:50:00+08:00
布袋國中,嘉義縣,23.35893,120.18026,25.0478,121.517,231.61,23.5,2026-02-24 15:50:00+08:00
西濱S267K,嘉義縣,23.41613,120.162872,25.0478,121.517,227.53,23.4,2026-02-24 15:50:00+08:00
西濱S257K,嘉義縣,23.502278,120.171861,25.0478,121.517,219.37,23.4,2026-02-24 15:50:00+08:00
中寮,南投縣,23.884447,120.766406,25.0478,121.517,150.02,23.4,2026-02-24 15:50:00+08:00
畜試所彰化,彰化縣,23.86045,120.557964,25.0478,121.517,163.87,23.4,2026-02-24 15:50:00+08:00
西濱S280K,臺南市,23.3052,120.14891,25.0478,121.517,238.34,23.4,2026-02-24 15:50:00+08:00
消防署訓練中心,南投縣,23.82137,120.72293,25.0478,121.517,158.3,23.4,2026-02-24 15:50:00+08:00
田中,彰化縣,23.873803,120.581286,25.0478,121.517,161.28,23.4,2026-02-24 15:50:00+08:00
八德蔬果,桃園市,24.978508,121.281819,25.0478,121.517,24.92,23.3,2026-02-24 15:50:00+08:00
新竹,新竹縣,24.828575,121.01445,25.0478,121.517,56.23,23.3,2026-02-24 15:50:00+08:00
口湖工作站,雲林縣,23.589978,120.180394,25.0478,121.517,211.23,23.3,2026-02-24 15:50:00+08:00
國一N250K,嘉義縣,23.610292,120.436867,25.0478,121.517,193.72,23.3,2026-02-24 15:50:00+08:00
苗改南投蜂場,南投縣,23.852589,120.693481,25.0478,121.517,156.88,23.3,2026-02-24 15:50:00+08:00
國一N094K,新竹市,24.79778,121.0089,25.0478,121.517,58.29,23.3,2026-02-24 15:50:00+08:00
田頭村,彰化縣,23.8263,120.444175,25.0478,121.517,173.9,23.2,2026-02-24 15:50:00+08:00
國一S262K,嘉義縣,23.512333,120.403038,25.0478,121.517,204.69,23.2,2026-02-24 15:50:00+08:00
國一S088K,新竹縣,24.84444,121.0214,25.0478,121.517,54.85,23.2,2026-02-24 15:50:00+08:00
澎湖,澎湖縣,23.565503,119.563094,25.0478,121.517,257.62,23.1,2026-02-24 15:50:00+08:00
國一N234K,雲林縣,23.74633,120.467926,25.0478,121.517,179.52,23.1,2026-02-24 15:50:00+08:00
崙內,雲林縣,23.69525,120.35601,25.0478,121.517,190.91,23.1,2026-02-24 15:50:00+08:00
馬光農場,雲林縣,23.721453,120.378864,25.0478,121.517,187.18,23.1,2026-02-24 15:50:00+08:00
國二E009K,桃園市,25.018244,121.273697,25.0478,121.517,24.73,23.0,2026-02-24 15:50:00+08:00
國三S202K,彰化縣,24.092468,120.603256,25.0478,121.517,140.79,23.0,2026-02-24 15:50:00+08:00
國三N252K,雲林縣,23.77412,120.64061,25.0478,121.517,167.13,23.0,2026-02-24 15:50:00+08:00
北斗,彰化縣,23.877586,120.514222,25.0478,121.517,165.02,23.0,2026-02-24 15:50:00+08:00
崙背,雲林縣,23.75553,120.31893,25.0478,121.517,188.06,23.0,2026-02-24 15:50:00+08:00
臺大內茅埔,南投縣,23.689722,120.851117,25.0478,121.517,165.39,23.0,2026-02-24 15:50:00+08:00
臺中,臺中市,24.145736,120.684075,25.0478,121.517,130.97,23.0,2026-02-24 15:50:00+08:00
農工中心,桃園市,24.985917,121.239833,25.0478,121.517,28.76,22.9,2026-02-24 15:50:00+08:00
瑞芳,新北市,25.113169,121.801147,25.0478,121.517,29.53,22.8,2026-02-24 15:50:00+08:00
臺中農改,彰化縣,24.003028,120.534389,25.0478,121.517,152.89,22.8,2026-02-24 15:50:00+08:00
國五N008K,新北市,24.982411,121.668089,25.0478,121.517,16.87,22.8,2026-02-24 15:50:00+08:00
國三S217K,南投縣,24.00683,120.653214,25.0478,121.517,145.03,22.8,2026-02-24 15:50:00+08:00
國三S004K,基隆市,25.11444,121.6886,25.0478,121.517,18.8,22.8,2026-02-24 15:50:00+08:00
新埔工作站,新竹縣,24.834444,121.066111,25.0478,121.517,51.28,22.8,2026-02-24 15:50:00+08:00
