測站名稱,城市,測站緯度,測站經度,台北車站緯度,台北車站經度,距離_公里,氣溫,觀測時間
畜試所澎湖,澎湖縣,23.628342,119.513206,25.0478,121.517,257.14,22.7,2026-02-24 15:50:00+08:00
大庄合作社,雲林縣,23.8068,120.367939,25.0478,121.517,180.48,22.7,2026-02-24 15:50:00+08:00
鳳鵬,南投縣,23.763919,120.788061,25.0478,121.517,160.71,22.7,2026-02-24 15:50:00+08:00
柑林,南投縣,24.018658,120.847072,25.0478,121.517,133.0,22.7,2026-02-24 15:50:00+08:00
港尾布雞,雲林縣,23.74834,120.38439,25.0478,121.517,184.48,22.7,2026-02-24 15:50:00+08:00
中央大學,桃園市,24.967652,121.185165,25.0478,121.517,34.61,22.7,2026-02-24 15:50:00+08:00
國一S098K,新竹縣,24.76056,120.9911,25.0478,121.517,61.91,22.7,2026-02-24 15:50:00+08:00
四湖植物園,雲林縣,23.676986,120.163433,25.0478,121.517,205.01,22.6,2026-02-24 15:50:00+08:00
埔南,彰化縣,23.99124,120.46969,25.0478,121.517,158.2,22.6,2026-02-24 15:50:00+08:00
寶山農場,新竹縣,24.732444,120.976153,25.0478,121.517,64.85,22.5,2026-02-24 15:50:00+08:00
國三N208K,臺中市,24.066147,120.660919,25.0478,121.517,139.32,22.5,2026-02-24 15:50:00+08:00
國一S207K,彰化縣,23.988304,120.508092,25.0478,121.517,155.88,22.5,2026-02-24 15:50:00+08:00
國三N223K,南投縣,23.955116,120.662376,25.0478,121.517,149.13,22.5,2026-02-24 15:50:00+08:00
國一S188K,臺中市,24.118546,120.585747,25.0478,121.517,139.8,22.5,2026-02-24 15:50:00+08:00
國三N085K,新竹縣,24.78333,121.1211,25.0478,121.517,49.59,22.5,2026-02-24 15:50:00+08:00
移民庄,彰化縣,23.9784,120.40283,25.0478,121.517,163.85,22.5,2026-02-24 15:50:00+08:00
國三S103K,新竹市,24.75861,120.9608,25.0478,121.517,64.66,22.5,2026-02-24 15:50:00+08:00
桃園農改,桃園市,24.950944,121.030583,25.0478,121.517,50.19,22.4,2026-02-24 15:50:00+08:00
觀音,桃園市,25.027072,121.153317,25.0478,121.517,36.71,22.4,2026-02-24 15:50:00+08:00
彰師大,彰化縣,24.081389,120.556667,25.0478,121.517,144.84,22.4,2026-02-24 15:50:00+08:00
埔里分場,南投縣,23.903208,120.963364,25.0478,121.517,139.06,22.3,2026-02-24 15:50:00+08:00
國五N013K,新北市,24.947603,121.705508,25.0478,121.517,22.02,22.3,2026-02-24 15:50:00+08:00
國一N039K,新北市,25.064433,121.381972,25.0478,121.517,13.73,22.3,2026-02-24 15:50:00+08:00
國三N077K,新竹縣,24.797294,121.190033,25.0478,121.517,43.16,22.3,2026-02-24 15:50:00+08:00
西濱N066K,新竹縣,24.8956,120.9649,25.0478,121.517,58.17,22.3,2026-02-24 15:50:00+08:00
百勝,南投縣,24.051142,120.909361,25.0478,121.517,126.72,22.2,2026-02-24 15:50:00+08:00
國一S001K,基隆市,25.11583,121.7286,25.0478,121.517,22.61,22.2,2026-02-24 15:50:00+08:00
國一S105K,新竹縣,24.726316,120.940643,25.0478,121.517,68.25,22.2,2026-02-24 15:50:00+08:00
國三N063K,桃園市,24.889514,121.2636,25.0478,121.517,31.02,22.2,2026-02-24 15:50:00+08:00
國一S114K,苗栗縣,24.668836,120.885811,25.0478,121.517,76.36,22.1,2026-02-24 15:50:00+08:00
芳苑,彰化縣,23.922303,120.320025,25.0478,121.517,174.17,22.1,2026-02-24 15:50:00+08:00
國一高架N063K,桃園市,24.950281,121.196314,25.0478,121.517,34.09,22.1,2026-02-24 15:50:00+08:00
伊拿谷,南投縣,23.963211,121.088264,25.0478,121.517,128.16,22.1,2026-02-24 15:50:00+08:00
麥寮,雲林縣,23.798783,120.217717,25.0478,121.517,191.29,22.0,2026-02-24 15:50:00+08:00
福隆,新北市,25.017842,121.942083,25.0478,121.517,42.96,22.0,2026-02-24 15:50:00+08:00
鹿港,彰化縣,24.0753,120.430481,25.0478,121.517,154.17,22.0,2026-02-24 15:50:00+08:00
火燒寮,新北市,25.002719,121.742892,25.0478,121.517,23.31,21.9,2026-02-24 15:50:00+08:00
泰武,屏東縣,22.60686,120.69765,25.0478,121.517,283.92,21.9,2026-02-24 15:50:00+08:00
西濱S082K,新竹市,24.751724,120.905028,25.0478,121.517,69.95,21.9,2026-02-24 15:50:00+08:00
茶改場,桃園市,24.908472,121.185333,25.0478,121.517,36.85,21.9,2026-02-24 15:50:00+08:00
竹南,苗栗縣,24.70898,120.88897,25.0478,121.517,73.71,21.9,2026-02-24 15:50:00+08:00
王功漁港,彰化縣,23.96824,120.32586,25.0478,121.517,170.1,21.9,2026-02-24 15:50:00+08:00
蓮華池,南投縣,23.918333,120.885278,25.0478,121.517,140.92,21.8,2026-02-24 15:50:00+08:00
國一N077K,新竹縣,24.885,121.0889,25.0478,121.517,46.8,21.8,2026-02-24 15:50:00+08:00
西濱S173K,彰化縣,24.1081,120.434576,25.0478,121.517,151.32,21.8,2026-02-24 15:50:00+08:00
國一S082K,新竹縣,24.87667,121.0467,25.0478,121.517,51.09,21.8,2026-02-24 15:50:00+08:00
國三N196K,彰化縣,24.107155,120.554482,25.0478,121.517,142.87,21.7,2026-02-24 15:50:00+08:00
苗栗農改,苗栗縣,24.495722,120.829111,25.0478,121.517,92.69,21.7,2026-02-24 15:50:00+08:00
大甲,臺中市,24.347667,120.640403,25.0478,121.517,117.91,21.7,2026-02-24 15:50:00+08:00
西濱N222K,雲林縣,23.737734,120.256132,25.0478,121.517,193.71,21.7,2026-02-24 15:50:00+08:00
新屋,桃園市,25.006725,121.047492,25.0478,121.517,47.52,21.7,2026-02-24 15:50:00+08:00
關西工作站,新竹縣,24.757275,121.184792,25.0478,121.517,46.54,21.6,2026-02-24 15:50:00+08:00
國三S156K,苗栗縣,24.39798,120.669487,25.0478,121.517,112.02,21.6,2026-02-24 15:50:00+08:00
國三N002K,基隆市,25.14583,121.7217,25.0478,121.517,23.32,21.6,2026-02-24 15:50:00+08:00
凍頂茶改,南投縣,23.762528,120.7405,25.0478,121.517,163.12,21.6,2026-02-24 15:50:00+08:00
西濱S129K,苗栗縣,24.4472,120.6428,25.0478,121.517,110.69,21.5,2026-02-24 15:50:00+08:00
國三N151K,苗栗縣,24.440218,120.681656,25.0478,121.517,108.08,21.5,2026-02-24 15:50:00+08:00
國三N119K,苗栗縣,24.675432,120.847389,25.0478,121.517,79.24,21.5,2026-02-24 15:50:00+08:00
國四E5K,臺中市,24.296465,120.643135,25.0478,121.517,121.56,21.5,2026-02-24 15:50:00+08:00
富貴角,新北市,25.263783,121.565258,25.0478,121.517,24.5,21.5,2026-02-24 15:50:00+08:00
國一S072K,桃園市,24.89583,121.1342,25.0478,121.517,42.12,21.5,2026-02-24 15:50:00+08:00
西濱N151K,臺中市,24.275964,120.547681,25.0478,121.517,130.23,21.5,2026-02-24 15:50:00+08:00
國一S132K,苗栗縣,24.524506,120.820831,25.0478,121.517,91.24,21.5,2026-02-24 15:50:00+08:00
萬大發電廠,南投縣,23.978875,121.139639,25.0478,121.517,124.84,21.5,2026-02-24 15:50:00+08:00
長嶺,宜蘭縣,24.70894,121.61162,25.0478,121.517,38.87,21.5,2026-02-24 15:50:00+08:00
國一N174K,臺中市,24.2049,120.6552,25.0478,121.517,127.96,21.5,2026-02-24 15:50:00+08:00
國三N072K,桃園市,24.836391,121.199371,25.0478,121.517,39.73,21.5,2026-02-24 15:50:00+08:00
後龍,苗栗縣,24.648563,120.831834,25.0478,121.517,82.16,21.4,2026-02-24 15:50:00+08:00
名間竹圍,南投縣,23.859914,120.637572,25.0478,121.517,159.28,21.4,2026-02-24 15:50:00+08:00
茶改場竹圍站,南投縣,23.86008,120.6375,25.0478,121.517,159.27,21.3,2026-02-24 15:50:00+08:00
西濱S189K,彰化縣,23.987857,120.369607,25.0478,121.517,165.42,21.3,2026-02-24 15:50:00+08:00
梧棲,臺中市,24.256003,120.523381,25.0478,121.517,133.55,21.3,2026-02-24 15:50:00+08:00
西濱N210K,彰化縣,23.843536,120.293236,25.0478,121.517,182.42,21.3,2026-02-24 15:50:00+08:00
國三S140K,苗栗縣,24.522345,120.725006,25.0478,121.517,99.03,21.3,2026-02-24 15:50:00+08:00
淡水,新北市,25.164889,121.448906,25.0478,121.517,14.71,21.2,2026-02-24 15:50:00+08:00
西濱N107K,苗栗縣,24.5958,120.7394,25.0478,121.517,93.19,21.2,2026-02-24 15:50:00+08:00
國一N158K,臺中市,24.332372,120.717144,25.0478,121.517,113.4,21.2,2026-02-24 15:50:00+08:00
新竹畜試,苗栗縣,24.527806,120.770972,25.0478,121.517,94.95,21.2,2026-02-24 15:50:00+08:00
福山,新北市,24.776203,121.502811,25.0478,121.517,30.23,21.2,2026-02-24 15:50:00+08:00
國三N191K,彰化縣,24.139256,120.5215,25.0478,121.517,142.61,21.2,2026-02-24 15:50:00+08:00
國一S162K,臺中市,24.295534,120.695976,25.0478,121.517,117.81,21.2,2026-02-24 15:50:00+08:00
四堵,新北市,24.8926,121.745736,25.0478,121.517,28.8,21.2,2026-02-24 15:50:00+08:00
文山茶改,新北市,24.955778,121.631222,25.0478,121.517,15.4,21.2,2026-02-24 15:50:00+08:00
國一S123K,苗栗縣,24.59594,120.86071,25.0478,121.517,83.14,21.2,2026-02-24 15:50:00+08:00
基隆,基隆市,25.133314,121.740475,25.0478,121.517,24.43,21.1,2026-02-24 15:50:00+08:00
大湖分場,苗栗縣,24.422861,120.871833,25.0478,121.517,95.26,21.1,2026-02-24 15:50:00+08:00
松茗,南投縣,23.8167,120.650765,25.0478,121.517,162.57,21.1,2026-02-24 15:50:00+08:00
國一S169K,臺中市,24.237116,120.688271,25.0478,121.517,123.05,21.1,2026-02-24 15:50:00+08:00
中台,南投縣,23.9996,120.938739,25.0478,121.517,130.41,21.0,2026-02-24 15:50:00+08:00
國三S168K,臺中市,24.308519,120.614471,25.0478,121.517,122.77,21.0,2026-02-24 15:50:00+08:00
大湖,苗栗縣,24.414939,120.870872,25.0478,121.517,95.97,21.0,2026-02-24 15:50:00+08:00
文化大學,臺北市,25.13605,121.53987,25.0478,121.517,10.08,20.9,2026-02-24 15:50:00+08:00
龍溪,苗栗縣,24.606489,120.783933,25.0478,121.517,88.77,20.9,2026-02-24 15:50:00+08:00
國三N183K,臺中市,24.193628,120.570311,25.0478,121.517,134.83,20.8,2026-02-24 15:50:00+08:00
國一S152K,苗栗縣,24.375492,120.749184,25.0478,121.517,107.72,20.8,2026-02-24 15:50:00+08:00
出水溪,宜蘭縣,24.615822,121.652253,25.0478,121.517,49.94,20.7,2026-02-24 15:50:00+08:00
國三S175K,臺中市,24.251494,120.589683,25.0478,121.517,128.93,20.6,2026-02-24 15:50:00+08:00
八甲,苗栗縣,24.535811,120.795983,25.0478,121.517,92.4,20.6,2026-02-24 15:50:00+08:00
大坪頂農水,南投縣,24.043122,120.932781,25.0478,121.517,126.38,20.6,2026-02-24 15:50:00+08:00
國一S144K,苗栗縣,24.437042,120.778219,25.0478,121.517,100.89,20.6,2026-02-24 15:50:00+08:00
中竹林,臺中市,24.103556,120.751061,25.0478,121.517,130.47,20.4,2026-02-24 15:50:00+08:00
南庄,苗栗縣,24.601775,121.000214,25.0478,121.517,71.97,20.4,2026-02-24 15:50:00+08:00
種苗繁殖,臺中市,24.225972,120.800917,25.0478,121.517,116.57,20.4,2026-02-24 15:50:00+08:00
三隻寮,南投縣,24.093078,120.861578,25.0478,121.517,125.15,20.4,2026-02-24 15:50:00+08:00
大肚,臺中市,24.15295,120.572117,25.0478,121.517,137.94,20.3,2026-02-24 15:50:00+08:00
六十石,花蓮縣,23.22477,121.31861,25.0478,121.517,203.71,20.2,2026-02-24 15:50:00+08:00
赤科坪,花蓮縣,23.39885,121.39168,25.0478,121.517,183.79,20.0,2026-02-24 15:50:00+08:00
發祥,南投縣,24.154094,121.164517,25.0478,121.517,105.57,20.0,2026-02-24 15:50:00+08:00
大華,嘉義縣,23.4824,120.67491,25.0478,121.517,193.87,19.9,2026-02-24 15:50:00+08:00
魚池茶改,南投縣,23.875611,120.913583,25.0478,121.517,143.94,19.9,2026-02-24 15:50:00+08:00
新坪頂,苗栗縣,24.30201,120.8574,25.0478,121.517,106.39,19.8,2026-02-24 15:50:00+08:00
日野賀,嘉義縣,23.434056,120.727169,25.0478,121.517,196.5,19.6,2026-02-24 15:50:00+08:00
彭佳嶼,基隆市,25.627975,122.079744,25.0478,121.517,85.79,19.6,2026-02-24 15:50:00+08:00
日月潭,南投縣,23.881325,120.90805,25.0478,121.517,143.6,19.3,2026-02-24 15:50:00+08:00
陽明山,臺北市,25.162078,121.544547,25.0478,121.517,13.01,18.8,2026-02-24 15:50:00+08:00
三義,苗栗縣,24.405478,120.749819,25.0478,121.517,105.38,18.6,2026-02-24 15:50:00+08:00
里佳,嘉義縣,23.389125,120.716647,25.0478,121.517,201.5,18.6,2026-02-24 15:50:00+08:00
碧湖,嘉義縣,23.568632,120.624165,25.0478,121.517,187.72,17.9,2026-02-24 15:50:00+08:00
大巃頂,嘉義縣,23.5547,120.61439,25.0478,121.517,189.55,17.9,2026-02-24 15:50:00+08:00
和興,苗栗縣,24.505319,120.923016,25.0478,121.517,85.06,17.9,2026-02-24 15:50:00+08:00
鳳凰,南投縣,23.728081,120.787347,25.0478,121.517,164.3,17.8,2026-02-24 15:50:00+08:00
草嶺石壁,雲林縣,23.602469,120.707731,25.0478,121.517,180.42,17.7,2026-02-24 15:50:00+08:00
外寮,嘉義縣,23.562643,120.665688,25.0478,121.517,186.32,17.7,2026-02-24 15:50:00+08:00
石卓,嘉義縣,23.478744,120.702264,25.0478,121.517,193.03,17.5,2026-02-24 15:50:00+08:00
摩天嶺,臺中市,24.322458,120.936819,25.0478,121.517,99.7,17.4,2026-02-24 15:50:00+08:00
卓社,南投縣,23.887894,121.000086,25.0478,121.517,139.18,17.4,2026-02-24 15:50:00+08:00
烏石坑,臺中市,24.273503,120.947617,25.0478,121.517,103.55,17.4,2026-02-24 15:50:00+08:00
鞍部,臺北市,25.182586,121.529731,25.0478,121.517,15.04,17.3,2026-02-24 15:50:00+08:00
草嶺,雲林縣,23.59555,120.693461,25.0478,121.517,181.77,17.3,2026-02-24 15:50:00+08:00
出雲,臺中市,24.206469,120.902794,25.0478,121.517,112.28,17.2,2026-02-24 15:50:00+08:00
龍南,南投縣,23.953536,120.833183,25.0478,121.517,139.97,16.7,2026-02-24 15:50:00+08:00
仁愛東眼,南投縣,24.026875,121.1205,25.0478,121.517,120.4,16.7,2026-02-24 15:50:00+08:00
金門,金門縣,24.407306,118.289281,25.0478,121.517,333.68,16.5,2026-02-24 15:50:00+08:00
瑞里,嘉義縣,23.545133,120.675197,25.0478,121.517,187.61,16.4,2026-02-24 15:50:00+08:00
奮起湖,嘉義縣,23.493903,120.699253,25.0478,121.517,191.64,16.4,2026-02-24 15:50:00+08:00
臺大溪頭,南投縣,23.670306,120.798194,25.0478,121.517,169.59,16.3,2026-02-24 15:50:00+08:00
武陵,臺中市,24.352825,121.308286,25.0478,121.517,80.1,16.1,2026-02-24 15:50:00+08:00
金門(東),金門縣,24.448431,118.451786,25.0478,121.517,316.62,16.1,2026-02-24 15:50:00+08:00
太和,嘉義縣,23.538372,120.702961,25.0478,121.517,187.02,16.1,2026-02-24 15:50:00+08:00
五峰站,新竹縣,24.612194,121.157167,25.0478,121.517,60.54,16.0,2026-02-24 15:50:00+08:00
國姓南港,南投縣,23.911108,120.846556,25.0478,121.517,143.45,15.5,2026-02-24 15:50:00+08:00
馬祖,連江縣,26.169467,119.923158,25.0478,121.517,202.72,15.4,2026-02-24 15:50:00+08:00
頭櫃山,臺中市,24.129842,120.858925,25.0478,121.517,121.84,15.3,2026-02-24 15:50:00+08:00
東引,連江縣,26.358836,120.483631,25.0478,121.517,178.8,14.5,2026-02-24 15:50:00+08:00
馬烈霸,南投縣,24.1512,121.201772,25.0478,121.517,104.67,13.8,2026-02-24 15:50:00+08:00
畢祿溪站,南投縣,24.226944,121.308522,25.0478,121.517,93.68,13.7,2026-02-24 15:50:00+08:00
拉拉山,桃園市,24.699317,121.427133,25.0478,121.517,39.8,13.4,2026-02-24 15:50:00+08:00
北東眼山,南投縣,24.120939,121.189303,25.0478,121.517,108.26,13.2,2026-02-24 15:50:00+08:00
屯原,南投縣,24.067969,121.209389,25.0478,121.517,113.31,13.1,2026-02-24 15:50:00+08:00
阿里山,嘉義縣,23.508208,120.813242,25.0478,121.517,185.46,11.7,2026-02-24 15:50:00+08:00
梨山,臺中市,24.247522,121.243669,25.0478,121.517,93.18,11.7,2026-02-24 15:50:00+08:00
玉山,南投縣,23.48718,120.95943,25.0478,121.517,182.5,7.4,2026-02-24 15:50:00+08:00
合歡山,花蓮縣,24.143186,121.284231,25.0478,121.517,103.3,5.0,2026-02-24 15:50:00+08:00
嘉義,嘉義市,23.495925,120.432906,25.0478,121.517,204.58,,2026-02-24 15:50:00+08:00
東沙島,高雄市,20.700856,116.73,25.0478,121.517,688.45,,2026-02-24 15:50:00+08:00
吉貝,澎湖縣,23.740011,119.604189,25.0478,121.517,242.21,,2026-02-24 15:50:00+08:00
臺大竹山,南投縣,23.756972,120.681556,25.0478,121.517,166.61,,2026-02-24 15:50:00+08:00
麥寮合作社,雲林縣,23.753836,120.294783,25.0478,121.517,189.79,,2026-02-24 15:50:00+08:00
扇平林試,高雄市,22.9677,120.685703,25.0478,121.517,246.23,,2026-02-24 15:50:00+08:00
臺西水試,雲林縣,23.717231,120.190522,25.0478,121.517,199.84,,2026-02-24 15:50:00+08:00
八德合作社,桃園市,24.93775,121.266389,25.0478,121.517,28.07,,2026-02-24 15:50:00+08:00
海口故事園區,雲林縣,23.57543,120.14121,25.0478,121.517,215.03,,2026-02-24 15:50:00+08:00
崎峰國小,屏東縣,22.42565,120.49521,25.0478,121.517,309.56,,2026-02-24 15:50:00+08:00
福盛,南投縣,23.89353,120.84077,25.0478,121.517,145.45,,2026-02-24 15:50:00+08:00
國一N198K,彰化縣,24.063889,120.523056,25.0478,121.517,148.58,,2026-02-24 15:50:00+08:00
國一N351K,高雄市,22.765833,120.328888,25.0478,121.517,281.02,,2026-02-24 15:50:00+08:00
西濱S241K,雲林縣,23.623426,120.172646,25.0478,121.517,208.89,,2026-02-24 15:50:00+08:00
西濱S023K,桃園市,25.11649,121.27551,25.0478,121.517,25.49,,2026-02-24 15:50:00+08:00
西濱S032K,桃園市,25.091966,121.192505,25.0478,121.517,33.05,,2026-02-24 15:50:00+08:00
